run_id,sensor,distance_m,group,frames,detections,detection_rate,measured_p50_m,abs_error_p50_m,abs_error_p95_m,period_p50_s,period_p95_s,period_p99_s,tf_success_rate,contact_events,pass
blind_zone_20260814_125953,scan,1.20005053866559,1,20,20,1.0,1.197634081907971,0.0024164567576190343,0.004486658656155175,0.15974000799178611,0.36201318700768725,0.4514726398009225,1.0,0,True
blind_zone_20260814_125953,velodyne,1.20005053866559,1,20,20,1.0,1.2000548839569092,4.649162292480469e-06,2.3013466062860036e-05,0.16148046399757732,0.36010511930653566,0.44816408065584257,1.0,0,True
blind_zone_20260814_125953,scan,1.20005053866559,2,20,20,1.0,1.1955066335486082,0.004543905116981883,0.007164033354068844,0.16124363499693573,0.34540179159812384,0.3836532359194825,1.0,0,True
blind_zone_20260814_125953,velodyne,1.20005053866559,2,20,20,1.0,1.2000499367713928,1.4549381074591139e-05,6.294261759789429e-05,0.16121941000164952,0.41498543840571056,0.4790056668812759,1.0,0,True
blind_zone_20260814_125953,scan,1.20005053866559,3,20,20,1.0,1.1921262993744097,0.007924239291180357,0.008993794901077401,0.1574048400070751,0.47732689450058374,0.520672957302595,1.0,0,True
blind_zone_20260814_125953,velodyne,1.20005053866559,3,20,20,1.0,1.2000521421432495,3.904104232788086e-05,0.0007043064767745301,0.1613695080013713,0.36472238190617623,0.44645397319254704,1.0,0,True
blind_zone_20260814_125953,scan,1.0997391514168555,1,20,20,1.0,1.0975257831296017,0.002213368287253825,0.0046622468519197605,0.15875980400596745,0.3130585153965512,0.31402931588760113,1.0,0,True
blind_zone_20260814_125953,velodyne,1.0997391514168555,1,20,20,1.0,1.099740445613861,2.9802322387695312e-06,7.803024215036209e-06,0.15925510799570475,0.3124668125034077,0.3142465624975739,1.0,0,True
blind_zone_20260814_125953,scan,1.0997391514168555,2,20,20,1.0,1.0951585482098518,0.004580603207003819,0.005676868074785013,0.16193158899841364,0.21254332180105795,0.3968666251571268,1.0,0,True
blind_zone_20260814_125953,velodyne,1.0997391514168555,2,20,20,1.0,1.0997394919395447,3.3803595727022184e-06,2.072531120234089e-05,0.16215067899611313,0.335271860999637,0.42313981140090623,1.0,0,True
blind_zone_20260814_125953,scan,1.0997391514168555,3,20,20,1.0,1.0933444383840056,0.006394713032849997,0.00859660286380427,0.1567360470071435,0.321456311205111,0.3281885430435068,1.0,0,True
blind_zone_20260814_125953,velodyne,1.0997391514168555,3,20,20,1.0,1.0997331142425537,1.4143405991262625e-05,7.995714423429945e-05,0.15493040900037158,0.31692513470043193,0.32793894374364757,1.0,0,True
blind_zone_20260814_125953,scan,1.0003585783528572,1,20,20,1.0,0.9982625403208116,0.0020960380320456107,0.003977663601561427,0.15924171599908732,0.4497973050078144,0.46601060339424294,1.0,0,True
blind_zone_20260814_125953,velodyne,1.0003585783528572,1,20,20,1.0,1.000359058380127,1.3740969413422732e-06,1.4206876214095665e-05,0.15970792800362688,0.3109936855937121,0.3217049931240035,1.0,0,True
blind_zone_20260814_125953,scan,1.0003585783528572,2,20,20,1.0,0.9958323481681784,0.004526230184678792,0.006824848098689146,0.1615747059986461,0.4624440068000694,0.47373881096427795,1.0,0,True
blind_zone_20260814_125953,velodyne,1.0003585783528572,2,20,20,1.0,1.0003582239151,3.7550926208496094e-06,4.287671035105856e-05,0.15954620399861597,0.3583076051014356,0.45309796742250913,1.0,0,True
blind_zone_20260814_125953,scan,1.0003585783528572,3,20,20,1.0,0.9936703806342229,0.006688197718634437,0.008793995895569423,0.157096356007969,0.335929766698973,0.4166667125409004,1.0,0,True
blind_zone_20260814_125953,velodyne,1.0003585783528572,3,20,20,1.0,1.0003567337989807,2.2590160369873047e-05,0.00012167979294483991,0.1548593010084005,0.29678864920715564,0.31814821384235986,1.0,0,True
blind_zone_20260814_125953,scan,0.8999494437101684,1,20,20,1.0,0.9020731529807392,0.002675401226845453,0.006197046175957666,0.16363825999724213,0.4772546525957296,0.48022299371717964,1.0,0,True
blind_zone_20260814_125953,velodyne,0.8999494437101684,1,20,20,1.0,0.9001920819282532,0.0003643929958343506,0.0029419001218476083,0.162732374999905,0.4631421227910323,0.47823363096860705,1.0,0,True
blind_zone_20260814_125953,scan,0.8999494437101684,2,20,20,1.0,0.9031557300267067,0.0033098024874874676,0.005536608819774902,0.16109996200248133,0.30595948389673133,0.32737303198024165,1.0,0,True
blind_zone_20260814_125953,velodyne,0.8999494437101684,2,20,20,1.0,0.9012356698513031,0.0012862261411347164,0.003723397481123426,0.16001561399025377,0.30645417869818625,0.3254574101409526,1.0,0,True
blind_zone_20260814_125953,scan,0.8999494437101684,3,20,20,1.0,0.9016151414118359,0.0038091055923054618,0.005808513686945299,0.16552166700421367,0.34000569779600476,0.3541759299574187,1.0,0,True
blind_zone_20260814_125953,velodyne,0.8999494437101684,3,20,20,1.0,0.9002293348312378,0.0002918541431427002,0.004466133939901806,0.1635516620008275,0.5154433448973574,0.6032901193841826,1.0,0,True
blind_zone_20260814_125953,scan,0.7999468218959412,1,20,0,0.0,,,,0.1617352940083947,0.4730535902039264,0.4825374964359799,1.0,0,False
blind_zone_20260814_125953,velodyne,0.7999468218959412,1,20,0,0.0,,,,0.16248630899644922,0.32201405241212305,0.44235378248675267,1.0,0,False
blind_zone_20260814_125953,scan,0.7999468218959412,2,20,0,0.0,,,,0.16114696599834133,0.3480086013034444,0.5989575186546428,1.0,0,False
blind_zone_20260814_125953,velodyne,0.7999468218959412,2,20,0,0.0,,,,0.16091927100205794,0.33940314680075934,0.4673093957672245,1.0,0,False
blind_zone_20260814_125953,scan,0.7999468218959412,3,20,0,0.0,,,,0.16144130201428197,0.3119778955035144,0.32535095590923446,1.0,0,False
blind_zone_20260814_125953,velodyne,0.7999468218959412,3,20,0,0.0,,,,0.16334230799111538,0.2153470389937863,0.30414587739011045,1.0,0,False
blind_zone_20260814_125953,scan,0.6002634301682431,1,20,0,0.0,,,,0.15936081900144927,0.36438810330437243,0.4338140838660184,1.0,0,False
blind_zone_20260814_125953,velodyne,0.6002634301682431,1,20,0,0.0,,,,0.15772730000026058,0.363497314705455,0.43404483494086893,1.0,0,False
blind_zone_20260814_125953,scan,0.6002634301682431,2,20,0,0.0,,,,0.1576782850024756,0.3323844214915876,0.46306904749973915,1.0,0,False
blind_zone_20260814_125953,velodyne,0.6002634301682431,2,20,0,0.0,,,,0.15648314999998547,0.33162770359922394,0.46262061992456444,1.0,0,False
blind_zone_20260814_125953,scan,0.6002634301682431,3,20,0,0.0,,,,0.1735790340026142,0.3545161000060031,0.4549955128078,1.0,0,False
blind_zone_20260814_125953,velodyne,0.6002634301682431,3,20,0,0.0,,,,0.1709341560053872,0.34897161319240666,0.4551334834375303,1.0,0,False
blind_zone_20260814_125953,scan,0.49944089017798043,1,20,0,0.0,,,,0.15877741100848652,0.33529478829586873,0.347030142461881,1.0,0,False
blind_zone_20260814_125953,velodyne,0.49944089017798043,1,20,0,0.0,,,,0.1546861589886248,0.33417374529526567,0.3451435594575014,1.0,0,False
blind_zone_20260814_125953,scan,0.49944089017798043,2,20,0,0.0,,,,0.17040031700162217,0.3411351811970232,0.4379004898483982,1.0,0,False
blind_zone_20260814_125953,velodyne,0.49944089017798043,2,20,0,0.0,,,,0.16682442999444902,0.3575575391936575,0.5776392422395293,1.0,0,False
blind_zone_20260814_125953,scan,0.49944089017798043,3,20,0,0.0,,,,0.16076063000946306,0.3209888292025425,0.32369533943972784,1.0,0,False
blind_zone_20260814_125953,velodyne,0.49944089017798043,3,20,0,0.0,,,,0.15809560600609984,0.18563139980105917,0.18622739996091695,1.0,0,False
blind_zone_20260814_125953,scan,0.3994825711693295,1,20,0,0.0,,,,0.15891393899801187,0.31008879219007174,0.43899018484225966,1.0,0,False
blind_zone_20260814_125953,velodyne,0.3994825711693295,1,20,0,0.0,,,,0.15954281500307843,0.3107139909887337,0.314414862995327,1.0,0,False
blind_zone_20260814_125953,scan,0.3994825711693295,2,20,0,0.0,,,,0.15958657099690754,0.3309385959946667,0.33604482159862525,1.0,0,False
blind_zone_20260814_125953,velodyne,0.3994825711693295,2,20,0,0.0,,,,0.1598516359954374,0.33124786390399086,0.3557166887837229,1.0,0,False
blind_zone_20260814_125953,scan,0.3994825711693295,3,20,0,0.0,,,,0.15591335500357673,0.29945028870424717,0.3219486665335717,1.0,0,False
blind_zone_20260814_125953,velodyne,0.3994825711693295,3,20,0,0.0,,,,0.15529316700121854,0.1978420881961936,0.27162894963170403,1.0,0,False
blind_zone_20260814_125953,scan,0.29971073678378113,1,20,0,0.0,,,,0.13201373600168154,0.2481609219088568,0.26284023798041745,1.0,0,False
blind_zone_20260814_125953,velodyne,0.29971073678378113,1,20,0,0.0,,,,0.1325950359896524,0.28550628920202126,0.3446899234398734,1.0,0,False
blind_zone_20260814_125953,scan,0.29971073678378113,2,20,0,0.0,,,,0.1387547119957162,0.27485712260095146,0.3458690061184462,1.0,0,False
blind_zone_20260814_125953,velodyne,0.29971073678378113,2,20,0,0.0,,,,0.13760451899725012,0.27455011479760266,0.34727511016739304,1.0,0,False
blind_zone_20260814_125953,scan,0.29971073678378113,3,20,0,0.0,,,,0.13050986999587622,0.26939973630942377,0.3563651256612502,1.0,0,False
blind_zone_20260814_125953,velodyne,0.29971073678378113,3,20,0,0.0,,,,0.13289598299888894,0.2548043098024208,0.2800677835583338,1.0,0,False
blind_zone_20260814_125953,scan,0.24970456786397002,1,20,0,0.0,,,,0.13070134101144504,0.27973338290175864,0.355067997375154,1.0,0,False
blind_zone_20260814_125953,velodyne,0.24970456786397002,1,20,0,0.0,,,,0.13052175600023475,0.25572077839897245,0.26516638207860527,1.0,0,False
blind_zone_20260814_125953,scan,0.24970456786397002,2,20,0,0.0,,,,0.13770719199965242,0.3836075498096761,0.4037162195626297,1.0,0,False
blind_zone_20260814_125953,velodyne,0.24970456786397002,2,20,0,0.0,,,,0.1379630699957488,0.4096664305121521,0.41298663490772014,1.0,0,False
blind_zone_20260814_125953,scan,0.24970456786397002,3,20,0,0.0,,,,0.12917533199652098,0.2659807205025572,0.26704535210388713,1.0,0,False
blind_zone_20260814_125953,velodyne,0.24970456786397002,3,20,0,0.0,,,,0.12547768399235792,0.14115212509786942,0.14538958502496827,1.0,0,False
blind_zone_20260814_125953,scan,0.20042952735059635,1,20,0,0.0,,,,0.1552719230094226,0.31421188480453566,0.32092293855967,1.0,0,False
blind_zone_20260814_125953,velodyne,0.20042952735059635,1,20,0,0.0,,,,0.15511030200286768,0.3180798866043915,0.3216304557272815,1.0,0,False
