run_id,distance_m,group,frame,sensor,arrival_monotonic,message_stamp,detected,measured_distance_m,signed_error_m,valid_count,inf_count,nan_count,tf_ok,contact_events_in_group
blind_zone_20260822_080231,1.9999773680728872,1,1,scan,7389.608652223,358.86,True,1.994601980421701,-0.00537538765118617,475,245,0,True,0
blind_zone_20260822_080231,1.9999773680728872,1,2,scan,7389.800289057,359.017,True,1.999886080674398,-9.128739848907053e-05,464,256,0,True,0
blind_zone_20260822_080231,1.9999773680728872,1,3,scan,7390.15364935,359.31,True,1.9984061522557246,-0.0015712158171625745,461,259,0,True,0
blind_zone_20260822_080231,1.9999773680728872,1,4,scan,7390.505241962,359.458,True,1.9942197607800338,-0.005757607292853351,494,226,0,True,0
blind_zone_20260822_080231,1.9999773680728872,1,5,scan,7390.507692934,359.606,True,2.0000888552608695,0.00011148718798237311,470,250,0,True,0
blind_zone_20260822_080231,1.9999773680728872,1,6,scan,7391.069381309,359.964,True,1.9961503941384102,-0.0038269739344769516,483,237,0,True,0
blind_zone_20260822_080231,1.9999773680728872,1,7,scan,7391.235609096,360.118,True,1.9998522458554502,-0.00012512221743699037,471,249,0,True,0
blind_zone_20260822_080231,1.9999773680728872,1,8,scan,7391.977382528,360.765,True,2.000925805261362,0.0009484371884749265,442,278,0,True,0
blind_zone_20260822_080231,1.9999773680728872,1,9,scan,7392.335422661,361.051,True,1.9981768332625753,-0.001800534810311838,468,252,0,True,0
blind_zone_20260822_080231,1.9999773680728872,1,10,scan,7392.51595802,361.203,True,1.99941101670247,-0.0005663513704172729,472,248,0,True,0
