run_id,distance_m,group,frame,sensor,arrival_monotonic,message_stamp,detected,measured_distance_m,signed_error_m,valid_count,inf_count,nan_count,tf_ok,contact_events_in_group
blind_zone_20260822_093730,0.5000009845276342,1,1,scan,13087.763226078,207.611,True,0.4964480085888062,-0.0035529759388279736,551,169,0,True,0
blind_zone_20260822_093730,0.5000009845276342,1,2,scan,13087.879193721,207.711,True,0.4980924122693129,-0.001908572258321306,551,169,0,True,0
blind_zone_20260822_093730,0.5000009845276342,1,3,scan,13088.015118285,207.811,True,0.4960363573882612,-0.0039646271393730115,552,168,0,True,0
blind_zone_20260822_093730,0.5000009845276342,1,4,scan,13088.11093303,207.911,True,0.49656132901888334,-0.0034396555087508607,549,171,0,True,0
blind_zone_20260822_093730,0.5000009845276342,1,5,scan,13088.221307206,208.011,True,0.4961231085379881,-0.003877875989646118,549,171,0,True,0
blind_zone_20260822_093730,0.5000009845276342,1,6,scan,13088.320652607,208.112,True,0.4965856558029387,-0.003415328724695521,552,168,0,True,0
blind_zone_20260822_093730,0.5000009845276342,1,7,scan,13088.429113573,208.212,True,0.49746027577307383,-0.0025407087545603613,547,173,0,True,0
blind_zone_20260822_093730,0.5000009845276342,1,8,scan,13088.539639284,208.311,True,0.4975520398365896,-0.002448944691044619,548,172,0,True,0
blind_zone_20260822_093730,0.5000009845276342,1,9,scan,13088.649426619,208.411,True,0.4992999768892473,-0.0007010076383868746,557,163,0,True,0
blind_zone_20260822_093730,0.5000009845276342,1,10,scan,13088.75858794,208.512,True,0.49793998398220646,-0.002061000545427738,547,173,0,True,0
blind_zone_20260822_093730,0.5000009845276342,1,1,velodyne,13087.761638529,207.611,True,0.49999192357063293,-9.060957001261194e-06,14073,0,327,True,0
blind_zone_20260822_093730,0.5000009845276342,1,2,velodyne,13087.877391719,207.711,True,0.4999474585056305,-5.35260220037026e-05,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,1,3,velodyne,13088.009589821,207.811,True,0.5000483393669128,4.735483927864603e-05,14073,0,327,True,0
blind_zone_20260822_093730,0.5000009845276342,1,4,velodyne,13088.108467232,207.911,True,0.5000066161155701,5.631587935872595e-06,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,1,5,velodyne,13088.217564182,208.011,True,0.5003690123558044,0.0003680278281702476,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,1,6,velodyne,13088.317680038,208.112,True,0.49995800852775574,-4.297599987845846e-05,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,1,7,velodyne,13088.42611178,208.212,True,0.4999614655971527,-3.95189304814858e-05,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,1,8,velodyne,13088.537021552,208.311,True,0.49998006224632263,-2.092228131156393e-05,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,1,9,velodyne,13088.647768107,208.411,True,0.5001685619354248,0.00016757740779060892,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,1,10,velodyne,13088.755730037,208.512,True,0.500012218952179,1.1234424544759314e-05,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,2,1,scan,13088.888626899,208.611,True,0.4990045839189351,-0.0009964006086990995,552,168,0,True,0
blind_zone_20260822_093730,0.5000009845276342,2,2,scan,13089.003109355,208.711,True,0.4974646846817783,-0.002536299845855905,558,162,0,True,0
blind_zone_20260822_093730,0.5000009845276342,2,3,scan,13089.104024171,208.811,True,0.49656141977010404,-0.0034395647575301558,548,172,0,True,0
blind_zone_20260822_093730,0.5000009845276342,2,4,scan,13089.214320772,208.912,True,0.49674551048759275,-0.0032554740400414506,555,165,0,True,0
blind_zone_20260822_093730,0.5000009845276342,2,5,scan,13089.324180112,209.012,True,0.4978251104277905,-0.002175874099843711,548,172,0,True,0
blind_zone_20260822_093730,0.5000009845276342,2,6,scan,13089.478616636,209.111,True,0.4996919932879581,-0.000308991239676093,553,167,0,True,0
blind_zone_20260822_093730,0.5000009845276342,2,7,scan,13089.575853088,209.211,True,0.49755811662666405,-0.002442867900970147,548,172,0,True,0
blind_zone_20260822_093730,0.5000009845276342,2,8,scan,13089.687409734,209.312,True,0.4972972096841999,-0.0027037748434343145,552,168,0,True,0
blind_zone_20260822_093730,0.5000009845276342,2,9,scan,13089.800918413,209.412,True,0.4987176336117643,-0.0012833509158698964,550,170,0,True,0
blind_zone_20260822_093730,0.5000009845276342,2,10,scan,13089.960347676,209.513,True,0.49739077351854377,-0.002610211009090424,556,164,0,True,0
blind_zone_20260822_093730,0.5000009845276342,2,1,velodyne,13088.882655103,208.611,True,0.49999019503593445,-1.0789491699747522e-05,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,2,2,velodyne,13089.001178081,208.711,True,0.4999780058860779,-2.2978641556314905e-05,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,2,3,velodyne,13089.102037362,208.811,True,0.49993574619293213,-6.523833470206686e-05,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,2,4,velodyne,13089.210668999,208.912,True,0.5001040101051331,0.00010302557749886088,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,2,5,velodyne,13089.321900595,209.012,True,0.4999605119228363,-4.047260479789205e-05,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,2,6,velodyne,13089.475257292,209.111,True,0.4999914765357971,-9.507991837076624e-06,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,2,7,velodyne,13089.572244877,209.211,True,0.5000008344650269,-1.5006260734029553e-07,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,2,8,velodyne,13089.685522322,209.312,True,0.4998248219490051,-0.0001761625786290688,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,2,9,velodyne,13089.797109976,209.412,True,0.5000180602073669,1.7075679732747595e-05,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,2,10,velodyne,13089.952983306,209.513,True,0.5000325441360474,3.155960841316752e-05,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,3,1,scan,13090.064415498,209.611,True,0.5003411522761769,0.00034016774854273013,550,170,0,True,0
blind_zone_20260822_093730,0.5000009845276342,3,2,scan,13090.172066384,209.711,True,0.4966331249903933,-0.0033678595372408915,549,171,0,True,0
blind_zone_20260822_093730,0.5000009845276342,3,3,scan,13090.287721992,209.811,True,0.49794699469473486,-0.002053989832899339,557,163,0,True,0
blind_zone_20260822_093730,0.5000009845276342,3,4,scan,13090.406554441,209.911,True,0.4976460575163784,-0.0023549270112557807,552,168,0,True,0
blind_zone_20260822_093730,0.5000009845276342,3,5,scan,13090.555988938,210.013,True,0.49734357540915375,-0.002657409118480447,548,172,0,True,0
blind_zone_20260822_093730,0.5000009845276342,3,6,scan,13090.652928614,210.111,True,0.4989108578675987,-0.0010901266600354953,548,172,0,True,0
blind_zone_20260822_093730,0.5000009845276342,3,7,scan,13090.754614766,210.212,True,0.4971575802030794,-0.0028434043245548213,548,172,0,True,0
blind_zone_20260822_093730,0.5000009845276342,3,8,scan,13090.871828548,210.311,True,0.4986356918663516,-0.0013652926612826022,553,167,0,True,0
blind_zone_20260822_093730,0.5000009845276342,3,9,scan,13091.026916013,210.411,True,0.49620743278685625,-0.003793551740777945,559,161,0,True,0
blind_zone_20260822_093730,0.5000009845276342,3,10,scan,13091.116497571,210.511,True,0.4971953714187747,-0.002805613108859517,558,162,0,True,0
blind_zone_20260822_093730,0.5000009845276342,3,1,velodyne,13090.06085716,209.611,True,0.5000258684158325,2.4883888198323767e-05,14074,0,326,True,0
blind_zone_20260822_093730,0.5000009845276342,3,2,velodyne,13090.170408863,209.711,True,0.49996688961982727,-3.4094907806925256e-05,14074,0,326,True,0
