stamp_sec,point_count,roll_deg,pitch_deg,tilt_deg,raw_finite_bins,raw_ground_bins,level_finite_bins,level_ground_bins
208.685,13629,0.22559366254044,0.24952047354854742,0.24952047354854742,426,0,487,0
209.185,13631,0.1746341785432733,0.25599738318707155,0.25599738318707155,426,0,477,0
209.686,13628,0.1764391548732199,0.1993913078221262,0.1993913078221262,427,0,470,0
210.185,13626,0.10165041963611977,0.2519162776671389,0.2519162776671389,426,0,467,0
210.686,13625,0.1210840691331218,0.22762105835214463,0.22762105835214463,427,0,469,0
211.185,13632,-0.15926189438666696,0.28685723404665703,0.28685723404665703,427,0,467,0
211.685,13627,-0.05502623095649498,0.30173494893837355,0.30173494893837355,427,0,466,0
212.185,13630,0.042306994918638804,0.3131719965370912,0.3131719965370912,427,0,464,0
212.685,13630,-0.057319064065498214,0.26421235577193397,0.26421235577193397,427,0,467,0
213.185,13629,0.1381669629009832,0.2470230144187055,0.2470230144187055,427,0,467,0
213.685,13630,0.06840364792398906,0.2539225326344198,0.2539225326344198,427,0,467,0
214.185,13631,-0.02721478575370594,0.09001360130260994,0.09001360130260994,427,0,425,0
214.685,13633,0.03223128176880548,0.2826927869178248,0.2826927869178248,427,0,466,0
215.185,13629,-0.0781565583456173,0.27696676055793945,0.27696676055793945,427,0,467,0
215.685,13631,-0.008701159019589767,0.2785175807871595,0.2785175807871595,427,0,466,0
216.185,13629,-0.09483196202438465,0.26112342627681884,0.26112342627681884,427,0,467,0
216.685,13629,0.11635182463934546,0.1942985048174369,0.1942985048174369,427,0,461,0
217.185,13631,-0.06353259784620001,0.3184168944899597,0.3184168944899597,427,0,464,0
217.685,13626,0.08404207051281962,0.2987121388143552,0.2987121388143552,427,0,464,0
218.185,13625,0.13303641089295765,0.3048546530499424,0.3048546530499424,427,0,463,0
218.685,13627,0.028921899490897914,0.21939625611540853,0.21939625611540853,427,0,471,0
219.185,13628,-0.018520009202168147,0.21228486375427424,0.21228486375427424,427,0,472,0
219.685,13636,-0.06324061725145186,0.248704199961558,0.248704199961558,427,0,469,0
220.186,13633,-0.11637793258804764,0.2098395891643653,0.2098395891643653,427,0,472,0
220.685,13627,0.1270891041038157,0.23625227028077742,0.23625227028077742,427,0,468,0
221.186,13625,0.10108701640046891,0.2126191526610954,0.2126191526610954,427,0,467,0
221.685,13629,0.05698466548385316,0.1637795407735222,0.1637795407735222,427,0,455,0
222.185,13631,0.0908709867024715,0.24641075192835551,0.24641075192835551,427,0,468,0
222.685,13631,0.03312597864879687,0.27491847991507856,0.27491847991507856,427,0,466,0
223.186,13630,0.024578492585324473,0.15542306023124047,0.15542306023124047,427,0,454,0
223.685,13629,0.09374112589129267,0.2239148484123883,0.2239148484123883,427,0,470,0
224.185,13634,0.04563852462798069,0.22967102656401986,0.22967102656401986,427,0,470,0
224.685,13631,-0.006864104418661967,0.2556812697123611,0.2556812697123611,426,0,468,0
225.185,13635,0.0028584207497766466,0.010301635172699369,0.010301635172699369,427,0,426,0
225.685,13634,-0.13762768891309057,0.2818554385314595,0.2818554385314595,427,0,466,0
226.185,13632,-0.07097046376015533,0.21198853371776435,0.21198853371776435,427,0,472,0
226.685,13634,0.06265618456514999,0.25314692931783844,0.25314692931783844,427,0,467,0
227.185,13630,-0.13270020586162531,0.23603062677440587,0.23603062677440587,427,0,470,0
227.686,13630,0.10409952829841042,0.23947287832457437,0.23947287832457437,427,0,468,0
228.185,13634,0.17925663129789812,0.2515862586318753,0.2515862586318753,427,0,478,0
228.685,13632,-0.19848507655320682,0.2447536319728554,0.2447536319728554,427,0,471,0
229.186,13629,0.06035221928979226,0.21331817312861134,0.21331817312861134,426,0,471,0
229.686,13637,-0.11702929653125932,0.26094529767460517,0.26094529767460517,427,0,469,0
230.186,13630,-0.018307182706561734,0.2514627447722007,0.2514627447722007,426,0,468,0
230.686,13629,0.04281716580080074,0.23774169266199732,0.23774169266199732,425,0,468,0
231.185,13629,-0.16342272693547638,0.23661627873907567,0.23661627873907567,425,0,469,0
231.685,13629,0.015106631639621731,0.26133818848534185,0.26133818848534185,425,0,466,0
232.185,13629,-0.11314144093229567,0.23811653904075206,0.23811653904075206,426,0,469,0
232.685,13630,-0.11071811258573097,0.2129102732635919,0.2129102732635919,426,0,471,0
233.185,13632,-0.15134561692257903,0.23119146276337996,0.23119146276337996,426,0,470,0
233.685,13629,0.06182232810023881,0.22932731065997303,0.22932731065997303,426,0,469,0
234.185,13631,0.0065365522325283865,0.21627293844240988,0.21627293844240988,426,0,470,0
