case,sample,wall_time,ros_time,point_count,min_x,max_x,min_y,max_y,final_linear_x,final_linear_y,final_angular_z,odom_x,odom_y,odom_yaw
stand,1,102527.539060721,262.829,1008,-0.38309445847530377,0.35281348994612677,-0.1662245819977622,0.1669881652418818,0.0,0.0,0.0,-0.10048643987997172,0.13749215110378712,0.6110693025429809
stand,2,102527.648811904,262.934,1008,-0.38383353026532463,0.35250518434896444,-0.16649684539923898,0.1667686877579885,0.0,0.0,0.0,-0.10018512666214784,0.13828215050946868,0.611067586906668
stand,3,102527.744300927,263.034,1008,-0.38402947053111564,0.352850655318309,-0.16692580772595111,0.1663370070216861,0.0,0.0,0.0,-0.10070828062362897,0.13859846815350932,0.6118938425861234
stand,4,102527.847196215,263.134,1008,-0.3839729258427912,0.3527457342895753,-0.1672939047289037,0.165884642104606,0.0,0.0,0.0,-0.1010034000527511,0.1385188227927643,0.6117034683783541
stand,5,102527.950166355,263.23400000000004,1008,-0.3837697677128357,0.3525192682434484,-0.16641755866445002,0.16674634510014094,0.0,0.0,0.0,-0.10059743351077609,0.1380097587677857,0.6118380380845005
stand,6,102528.03971326,263.324,1008,-0.38447268016177216,0.352552681496375,-0.1663841023423034,0.16683829758301108,0.0,0.0,0.0,-0.09991286266271399,0.13826399272514606,0.610973870978081
stand,7,102528.144188624,263.42900000000003,1008,-0.3843580182451235,0.352882004314411,-0.16669907372852485,0.16651136281276288,0.0,0.0,0.0,-0.10048695469323835,0.13832949681987539,0.6112565364593854
stand,8,102528.245329296,263.529,1008,-0.3832689804249184,0.35271984753276425,-0.1665251053046199,0.16680457953781752,0.0,0.0,0.0,-0.10068723009782084,0.13838863088789702,0.6124396887046504
stand,9,102528.34564499,263.624,1008,-0.38383229705576805,0.3525168779356939,-0.16669442043011418,0.1667122943264335,0.0,0.0,0.0,-0.09950420194985338,0.1390990008184887,0.6115651618197628
stand,10,102528.440840138,263.719,1008,-0.3843412193023002,0.35267132761253084,-0.1669581641002251,0.16640218865249168,0.0,0.0,0.0,-0.1002624163488872,0.13827524702344451,0.6115773454109608
stand,11,102528.546640354,263.819,1008,-0.38346854669143915,0.35272010567918666,-0.16704186377621505,0.16624468164289907,0.0,0.0,0.0,-0.10095668260513323,0.1378304786233823,0.6119071942773563
stand,12,102528.645582871,263.91900000000004,1008,-0.38410594029894307,0.35280502695620986,-0.16675988964452307,0.16666722732190833,0.0,0.0,0.0,-0.10060308135228445,0.13829382054447442,0.6116362695973735
stand,13,102528.743217677,264.014,1008,-0.384638322118953,0.35246847166774486,-0.16745482421912225,0.1657313029821958,0.0,0.0,0.0,-0.0992295299207808,0.13948087083414926,0.6121425865615294
stand,14,102528.845911943,264.11400000000003,1008,-0.3849661272848812,0.3529840292129608,-0.166198341130969,0.16710887956144943,0.0,0.0,0.0,-0.0980878330672199,0.13966155998806404,0.6112921817498235
stand,15,102528.949139146,264.214,1008,-0.3838447684409461,0.35263090197421937,-0.1658520946655055,0.16734330236080489,0.0,0.0,0.0,-0.10017222473987406,0.13804498346458452,0.6114020932147545
stand,16,102529.044423762,264.309,1008,-0.3838609424290608,0.3526130486276074,-0.16665224515359353,0.1665557589314835,0.0,0.0,0.0,-0.10149095073553302,0.13748323012636682,0.6120321198382419
