case,sample,wall_time,ros_time,link,tx,ty,tz,qx,qy,qz,qw
stand,1,102527.539060721,262.829,trunk,-2.446961360262807e-07,2.7194783883759555e-08,0.20609431012505128,0.002215691236414856,0.002715021572080313,-1.8925079770211188e-06,0.9999938596644614
stand,1,102527.539060721,262.829,imu_link,-2.446961360262807e-07,2.7194783883759555e-08,0.20609431012505128,0.002215691236414856,0.002715021572080313,-1.8925079770211188e-06,0.9999938596644614
stand,1,102527.539060721,262.829,rf_hip_link,0.19339890453099354,-0.046499870949981974,0.20673762844622492,-0.01027148195223437,0.001471735176206369,1.53875418854612e-05,0.9999461637594794
stand,1,102527.539060721,262.829,rf_upper_leg_link,0.19340473072141628,-0.14197971976653206,0.20869937155484902,-0.008992883824073802,0.48575681399903897,-0.004963025165988319,0.874033645848506
stand,1,102527.539060721,262.829,rf_lower_leg_link,0.012519835096643292,-0.14430110441705846,0.09625264768919235,-0.008709311074354208,-0.5275904176115713,0.005445317151613185,0.8494367826190341
stand,1,102527.539060721,262.829,rf_foot_link,0.20345394325945126,-0.14622880214089304,0.0018627630533978035,-0.008709311074354208,-0.5275904176115713,0.005445317151613185,0.8494367826190341
stand,1,102527.539060721,262.829,lf_hip_link,0.1933989787893172,0.04650011944133325,0.20677990384993036,0.012104738068230382,0.001471711023702952,-1.754616880339696e-05,0.9999256517737177
stand,1,102527.539060721,262.829,lf_upper_leg_link,0.19340573246159684,0.1419721331679437,0.2090917319953216,0.010599441029395569,0.48547925002038933,0.005846096255867777,0.8741643854608079
stand,1,102527.539060721,262.829,lf_lower_leg_link,0.012589761695756665,0.1447102462202052,0.09654357584463265,0.010272270797640252,-0.5264913214117927,-0.00640354934614021,0.8500943262288579
stand,1,102527.539060721,262.829,lf_foot_link,0.20328144701677608,0.14699402624154453,0.0016727926801440862,0.010272270797640252,-0.5264913214117927,-0.00640354934614021,0.8500943262288579
stand,1,102527.539060721,262.829,rh_hip_link,-0.19339941966480992,-0.046500079676682245,0.20787622375382156,-0.009989618616453505,0.0014717394551489302,1.4972691354597674e-05,0.9999490193398324
stand,1,102527.539060721,262.829,rh_upper_leg_link,-0.1933937519224257,-0.14198101927016404,0.20978413942873295,-0.008750075932023663,0.48503945236735835,-0.004819634370727835,0.8744352102602511
stand,1,102527.539060721,262.829,rh_lower_leg_link,-0.37409347243499025,-0.14424463914227564,0.09703890879011291,-0.0085247286190913,-0.5187624682047649,0.0052078504447158,0.8548600522177981
stand,1,102527.539060721,262.829,rh_foot_link,-0.18515663360661744,-0.14619819531060707,-0.00128735703870142,-0.0085247286190913,-0.5187624682047649,0.0052078504447158,0.8548600522177981
stand,1,102527.539060721,262.829,lh_hip_link,-0.19339934540648626,0.046499910714632976,0.207918499157527,0.009249763787272427,0.0014717551218570632,-1.3344160369579703e-05,0.9999561368523493
stand,1,102527.539060721,262.829,lh_upper_leg_link,-0.19339419662669027,0.14198356907776924,0.20968512279654564,0.008104355265965346,0.4845366685977979,0.004458445234605013,0.8747220464101501
stand,1,102527.539060721,262.829,lh_lower_leg_link,-0.37396325930064445,0.14408322851513222,0.09672758637114073,0.00787801462660117,-0.5215259602126165,-0.0048471841031686065,0.853185275609068
stand,1,102527.539060721,262.829,lh_foot_link,-0.18439476892172316,0.14586964832697355,-0.0003785213652558739,0.00787801462660117,-0.5215259602126165,-0.0048471841031686065,0.853185275609068
stand,1,102527.539060721,262.829,d435_link,0.3402203646326216,0.017318757443860175,0.24582463318601586,0.002215691236414856,0.002715021572080313,-1.8925079770211188e-06,0.9999938596644614
stand,1,102527.539060721,262.829,velodyne_base_link,0.20043120687881236,-0.0003528327870814485,0.2850063415866245,0.002215691236414856,0.002715021572080313,-1.8925079770211188e-06,0.9999938596644614
stand,1,102527.539060721,262.829,gps_frame,0.0003798554029452675,-0.000310168392949924,0.2760925908368804,0.002215691236414856,0.002715021572080313,-1.8925079770211188e-06,0.9999938596644614
stand,2,102527.648811904,262.934,trunk,-3.125831062415951e-07,4.8401016054223135e-08,0.20855841851811738,0.0003865478050201829,-0.00033955998542613595,2.8981055937318226e-06,0.9999998676356971
stand,2,102527.648811904,262.934,imu_link,-3.125831062415951e-07,4.8401016054223135e-08,0.20855841851811738,0.0003865478050201829,-0.00033955998542613595,2.8981055937318226e-06,0.9999998676356971
stand,2,102527.648811904,262.934,rf_hip_link,0.19340000630272738,-0.046498637336232745,0.2079717512000531,-0.010729660399227145,-8.160076200068329e-05,2.473097243200395e-06,0.9999424322044328
stand,2,102527.648811904,262.934,rf_upper_leg_link,0.1934003114073513,-0.14197664834311852,0.21002099839741734,-0.009385349639676304,0.48474764330228726,-0.005200079859000347,0.8745882440865985
stand,2,102527.648811904,262.934,rf_lower_leg_link,0.012774865244492358,-0.1443995616851928,0.09716012081175898,-0.009166616334414986,-0.5195822035396975,0.00557662652296077,0.8543530933673931
stand,2,102527.648811904,262.934,rf_foot_link,0.20190088022678038,-0.14650145042397494,-0.0007987099318200186,-0.009166616334414986,-0.5195822035396975,0.00557662652296077,0.8543530933673931
stand,2,102527.648811904,262.934,lf_hip_link,0.19339937076487715,0.046501329995117656,0.20804969966922354,0.011374640703987695,-8.152616417681603e-05,4.2761108125629934e-06,0.999935303349199
stand,2,102527.648811904,262.934,lf_upper_leg_link,0.1933983769603645,0.14197661794345653,0.21022211541997865,0.009945240808419513,0.4848925001774559,0.005520385375359631,0.8744997889091947
stand,2,102527.648811904,262.934,lf_lower_leg_link,0.012734635160184936,0.14454127320740798,0.0974256839953314,0.009722430588825598,-0.5194036819555431,-0.005903965859945806,0.8544532946285567
stand,2,102527.648811904,262.934,lf_foot_link,0.2018205237280126,0.1467738630567657,-0.0006076893378330339,0.009722430588825598,-0.5194036819555431,-0.005903965859945806,0.8544532946285567
stand,2,102527.648811904,262.934,rh_hip_link,-0.19339998854138282,-0.04650122773841427,0.20790864901247197,-0.010140909566003296,-8.159929173931851e-05,2.5211419452426325e-06,0.9999485763219895
stand,2,102527.648811904,262.934,rh_upper_leg_link,-0.1933996650788221,-0.14198158567025648,0.20984546317564393,-0.008850290306074,0.48832134446278336,-0.004950799398099915,0.872604965885983
stand,2,102527.648811904,262.934,rh_lower_leg_link,-0.37494188513372273,-0.1442416120537649,0.0984618260547283,-0.008692727124955866,-0.5148239948009448,0.005222504027099494,0.8572359163754251
stand,2,102527.648811904,262.934,rh_foot_link,-0.18691783199495898,-0.14627067029586532,-0.0015973482568833464,-0.008692727124955866,-0.5148239948009448,0.005222504027099494,0.8572359163754251
