run_id,sensor,distance_m,group,frames,detections,detection_rate,measured_p50_m,abs_error_p50_m,abs_error_p95_m,period_p50_s,period_p95_s,period_p99_s,tf_success_rate,contact_events,pass
blind_zone_20260814_130927,scan,1.0000746779697984,1,20,20,1.0,0.9983959301892283,0.002030318151690691,0.003609887262057193,0.1715291750006145,0.365844651899533,0.46656331997714007,1.0,0,True
blind_zone_20260814_130927,velodyne,1.0000746779697984,1,20,20,1.0,1.0000713467597961,1.078179059921247e-05,3.738405783326738e-05,0.17926539499603678,0.35602583940344595,0.4663643590881839,1.0,0,True
blind_zone_20260814_130927,scan,1.0000746779697984,2,20,20,1.0,0.9986060227313704,0.0014686552384279294,0.0034757089344541643,0.16041417900123633,0.35109395129838894,0.5720632926514373,1.0,0,True
blind_zone_20260814_130927,velodyne,1.0000746779697984,2,20,20,1.0,1.0000748038291931,1.0967254638671875e-05,5.162355820982347e-05,0.16036516800522804,0.3294373537952194,0.43481736595887926,1.0,0,True
blind_zone_20260814_130927,scan,1.0000746779697984,3,20,20,1.0,0.9985172813349995,0.0015573966347989243,0.0039324188606300325,0.15902060200460255,0.3106946377985877,0.33665422195976136,1.0,0,True
blind_zone_20260814_130927,velodyne,1.0000746779697984,3,20,20,1.0,1.0000733733177185,8.761882781982422e-06,2.0640398845062092e-05,0.15315704999375157,0.31076299830456255,0.3343102620576974,1.0,0,True
blind_zone_20260814_130927,scan,0.8995743090772875,1,20,20,1.0,0.9567321581429542,0.05715784906566662,0.06619494303282973,0.16195339600380976,0.32404998660204,0.3291115333198104,1.0,0,False
blind_zone_20260814_130927,velodyne,0.8995743090772875,1,20,20,1.0,0.9530886113643646,0.0535143022870771,0.06143412044999519,0.16257883700018283,0.33502537390886544,0.427410005988495,1.0,0,False
blind_zone_20260814_130927,scan,0.8995743090772875,2,20,20,1.0,0.9573297597667227,0.05775545068943516,0.0703642218062743,0.16762462999031413,0.44110055599740006,0.4434910136045073,1.0,0,False
blind_zone_20260814_130927,velodyne,0.8995743090772875,2,20,20,1.0,0.9554295837879181,0.055855274710630565,0.06753880432603279,0.15611442099907435,0.3455701859013059,0.42075996518455216,1.0,0,False
blind_zone_20260814_130927,scan,0.8995743090772875,3,20,20,1.0,0.9572578629799569,0.05768355390266927,0.06408511916737096,0.1633211599983042,0.37509581069752984,0.5662912469386356,1.0,0,False
blind_zone_20260814_130927,velodyne,0.8995743090772875,3,20,20,1.0,0.9510147273540497,0.051440418276762157,0.06219837418553749,0.16076865000650287,0.30853198370314194,0.3395143087382894,1.0,0,False
blind_zone_20260814_130927,scan,0.7997187188593797,1,20,0,0.0,,,,0.15951880099601112,0.30692396690574236,0.32061362858948994,1.0,0,False
blind_zone_20260814_130927,velodyne,0.7997187188593797,1,20,0,0.0,,,,0.15976497301016934,0.30773753629910056,0.32148249685560587,1.0,0,False
blind_zone_20260814_130927,scan,0.7997187188593797,2,20,0,0.0,,,,0.16488879099779297,0.3399738332998819,0.4563001530602924,1.0,0,False
blind_zone_20260814_130927,velodyne,0.7997187188593797,2,20,0,0.0,,,,0.15865105799457524,0.3311915637968919,0.45498438076901954,1.0,0,False
blind_zone_20260814_130927,scan,0.7997187188593797,3,20,0,0.0,,,,0.15843940299237147,0.1991087079033602,0.29687632638000655,1.0,0,False
blind_zone_20260814_130927,velodyne,0.7997187188593797,3,20,0,0.0,,,,0.15637633900041692,0.32899362688913175,0.556406180576014,1.0,0,False
