stamp_sec,point_count,roll_deg,pitch_deg,tilt_deg,raw_finite_bins,raw_ground_bins,level_finite_bins,level_ground_bins
181.085,27262,0.006087354807775957,0.22571351952057628,0.22571351952057628,428,0,471,0
181.403,27264,-0.01599814054970711,0.23747221910025687,0.23747221910025687,428,0,471,0
181.736,27264,-0.007807791986928537,0.21833341791747826,0.21833341791747826,428,0,472,0
182.044,27264,0.005077434970985021,0.31041575537719845,0.31041575537719845,428,0,466,0
182.353,27262,-0.038743611815692205,0.2535670049833526,0.2535670049833526,428,0,470,0
182.659,27265,0.019057235020392808,0.1756378805408294,0.1756378805408294,428,0,465,0
182.97,27265,-0.03452771699185013,0.1965474914434106,0.1965474914434106,428,0,473,0
183.283,27262,0.03061950523355462,0.22495351972074312,0.22495351972074312,428,0,471,0
183.597,27267,-0.05711240889239172,0.24086825992186112,0.24086825992186112,428,0,471,0
183.905,27263,0.027840966247378425,0.2561854783093212,0.2561854783093212,428,0,469,0
184.213,27263,-0.020691308302342674,0.25874898262646306,0.25874898262646306,428,0,470,0
184.531,27266,-0.0025666354620635552,0.20238164696198727,0.20238164696198727,428,0,474,0
184.842,27257,0.003494003158350358,0.3212896552587385,0.3212896552587385,428,0,465,0
185.151,27264,-0.013187569104398965,0.36178381566033263,0.36178381566033263,428,0,463,0
185.468,27261,0.011047482307012219,0.1677927828678886,0.1677927828678886,428,0,463,0
185.774,27261,-0.025133500831844346,0.2660056962540997,0.2660056962540997,428,0,469,0
186.087,27262,0.02565452808130174,0.2985626657999798,0.2985626657999798,428,0,466,0
186.403,27260,-0.02837082764838064,0.22766822106617648,0.22766822106617648,428,0,472,0
186.717,27262,0.0017582167495575067,0.18563960168948024,0.18563960168948024,428,0,470,0
187.03,27258,-0.0005355037791066975,0.28024138641396207,0.28024138641396207,428,0,467,0
187.346,27261,-0.008387073772490842,0.3449109838871568,0.3449109838871568,428,0,463,0
187.663,27265,0.008456293573578787,0.29071584082329477,0.29071584082329477,428,0,467,0
187.974,27259,-0.0014101166083234906,0.27051637577074283,0.27051637577074283,428,0,469,0
188.294,27260,9.345640147186702e-05,0.1828189086571318,0.1828189086571318,428,0,470,0
188.65,27263,0.019701557337338235,0.2387254410089002,0.2387254410089002,428,0,471,0
188.978,27261,-0.008088483984862834,0.19892747015370382,0.19892747015370382,428,0,474,0
189.305,27268,-0.013597467083349272,0.2579491815057414,0.2579491815057414,428,0,470,0
189.628,27263,0.010538858807819474,0.24394152981391093,0.24394152981391093,428,0,471,0
189.957,27262,-0.0006893398743171181,0.2754973284584907,0.2754973284584907,428,0,467,0
190.279,27260,-0.015208499693350171,0.35271886705323535,0.35271886705323535,427,0,463,0
190.61,27254,0.023529538339194578,0.19531845446838217,0.19531845446838217,428,0,471,0
190.918,27259,-0.025214371298922143,0.1884075431548316,0.1884075431548316,427,0,475,0
191.236,27257,0.032864800728799805,0.34314376148753334,0.34314376148753334,428,0,463,0
191.548,27266,-0.027783493581933025,0.2517384919192155,0.2517384919192155,428,0,470,0
191.862,27038,2.5839318020940527,-2.5600824311619848,2.5839318020940527,426,0,529,0
192.175,27140,-1.9853751161663613,-1.7481452237700346,1.9853751161663613,428,0,559,0
192.493,27456,0.9701461869296149,-1.4734972890380544,1.4734972890380544,428,0,578,0
192.811,27001,-1.2934788984888348,1.086018969869286,1.2934788984888348,428,0,641,0
193.128,26696,-4.76199686970788,-3.939939432012995,4.76199686970788,481,133,556,0
193.446,27142,1.6370780371713813,0.09509249660042218,1.6370780371713813,428,0,626,0
193.767,27114,-2.075048384580709,0.03408318405102843,2.075048384580709,427,0,584,0
194.098,26081,-5.295544452121779,-4.778935956296076,5.295544452121779,544,191,617,0
194.427,26951,1.727352333495344,1.022939885140275,1.727352333495344,426,0,489,0
194.741,27011,-2.5482607999209295,-1.2895196021788426,2.5482607999209295,425,0,612,0
195.052,26988,-2.5754438233233383,-3.1524470825230733,3.1524470825230733,424,16,504,0
195.365,26365,4.692231584274733,-2.5229836052194194,4.692231584274733,425,76,570,0
195.676,27142,-3.378620603193845,-2.154034705609374,3.378620603193845,426,30,481,0
195.985,27358,0.9945151166268577,0.09054155701865216,0.9945151166268577,424,0,598,0
196.3,26726,2.863880081658135,-2.418394091311092,2.863880081658135,425,36,538,0
196.608,26639,-4.059470793749638,-3.672810847130243,4.059470793749638,452,68,609,0
196.922,26916,3.922576106068998,-1.219085033470537,3.922576106068998,426,53,588,0
197.246,27034,-1.3591111918138579,-0.6085726859694444,1.3591111918138579,425,0,594,0
197.558,26609,-3.4556916498866945,-3.703408440850692,3.703408440850692,529,138,596,0
197.874,26583,4.223645883698011,-1.6811575946208805,4.223645883698011,425,62,551,0
198.19,27200,-1.8274622387065216,-2.102292570964417,2.102292570964417,424,0,557,0
198.506,27133,1.0558275515035733,-0.43479991125743805,1.0558275515035733,422,0,639,0
198.821,26735,4.320109822846219,-2.5267959765086663,4.320109822846219,424,74,575,0
199.132,26424,-3.9507364735927766,-3.826797440083466,3.9507364735927766,443,57,598,0
199.449,27043,1.957846445308762,0.5674239518807348,1.957846445308762,422,0,488,0
199.777,26904,-0.7986729382228523,0.10027359967296011,0.7986729382228523,422,0,554,0
200.131,25996,-4.774506865463334,-4.520471686577052,4.774506865463334,565,184,525,0
200.451,27249,1.7224379125475715,0.9141628209529521,1.7224379125475715,423,0,511,0
200.763,27115,0.5287420088263967,-0.22601080568151372,0.5287420088263967,421,0,519,0
201.09,27197,-0.7079303398692306,0.09229232302858924,0.7079303398692306,421,0,536,0
201.411,27120,0.4702600063176791,-0.15453568995142591,0.4702600063176791,422,0,503,0
201.732,27131,-0.2693039218010524,0.08000829704338396,0.2693039218010524,422,0,400,0
202.048,27119,-0.002647409841841899,-0.1060548830042153,0.1060548830042153,422,0,422,0
202.363,27123,-0.04318353181253596,0.003967941355629289,0.04318353181253596,421,0,424,0
202.672,27230,0.1891823299910598,1.0059909620001266,1.0059909620001266,424,0,603,0
202.988,27106,1.821894293065179,-1.5241807187198388,1.821894293065179,419,0,603,0
203.312,26329,4.169325137930936,-3.6989322506648614,4.169325137930936,422,96,588,0
203.621,27052,-0.49454506841068596,-0.4318135963815832,0.49454506841068596,420,0,637,0
203.94,27316,3.357453124001672,-1.623398807427157,3.357453124001672,423,60,590,0
204.253,26447,1.6253159908081625,-3.03935785502644,3.03935785502644,507,16,575,0
204.563,27017,-1.5832124619876407,-0.6492592158139284,1.5832124619876407,423,0,548,0
204.876,26577,4.673790941441291,-3.634215716092775,4.673790941441291,421,88,536,0
205.21,27231,-1.1120178575588393,-0.21942881542179132,1.1120178575588393,421,0,575,0
205.523,27165,-0.35099488783423877,0.1597379697954844,0.35099488783423877,423,0,396,0
205.831,26001,5.1926437875124325,-4.814848389893539,5.1926437875124325,551,226,585,0
206.141,27059,-0.9772751247125119,0.13199908596673157,0.9772751247125119,422,0,540,0
206.456,27415,1.144759894677311,-1.3119423121656786,1.3119423121656786,422,0,588,0
206.766,26479,3.0422495089357504,-3.5920497790679824,3.5920497790679824,556,147,569,0
207.08,27043,-1.9560595850660991,-0.7018792647320129,1.9560595850660991,421,0,581,0
207.39,27080,4.022662909966674,-3.425259506042701,4.022662909966674,420,41,625,0
207.716,27015,-1.0540926870646412,-0.42889905506855036,1.0540926870646412,421,0,601,0
208.031,27149,-0.47757867627993333,0.6138944613670532,0.6138944613670532,421,0,579,0
208.345,26043,4.950264538415159,-4.343393790079163,4.950264538415159,573,188,570,0
208.661,27340,-1.0513781544768102,0.26021383087143873,1.0513781544768102,422,0,621,0
208.975,27134,1.8013944384878078,-1.6574421480752695,1.8013944384878078,419,0,506,0
209.282,26375,3.573487029069081,-3.34387031524671,3.573487029069081,553,159,594,0
209.573,26872,-0.8565732974755593,-0.37071513690334845,0.8565732974755593,418,0,564,0
209.872,26827,3.866543995697685,-3.2076547953092858,3.866543995697685,418,31,611,0
210.176,27300,-0.9928995672044244,0.0806221393375127,0.9928995672044244,418,0,614,0
210.49,27156,0.6263956555251755,-1.492513236596342,1.492513236596342,418,0,544,0
210.803,26016,5.003165354730057,-4.718932491421622,5.003165354730057,549,201,587,0
211.134,26950,-1.5448235387003617,0.05556877683704968,1.5448235387003617,416,0,634,0
211.441,27367,0.614150129070772,-1.397375051201847,1.397375051201847,417,0,570,0
211.771,27219,0.32139260659637725,-0.06732984056679416,0.32139260659637725,416,0,521,0
212.087,27140,-0.3871083074303566,0.47641495006438045,0.47641495006438045,417,0,502,0
212.45,27128,-0.5095758391911782,-0.39710865784860766,0.5095758391911782,417,0,508,0
212.77,27215,0.14913005150162187,0.07988294711522465,0.14913005150162187,416,0,467,0
213.082,27144,-0.25464761559398896,-0.16574835906728957,0.25464761559398896,416,0,421,0
213.392,27222,0.16452633394896368,0.1366746566293512,0.16452633394896368,416,0,475,0
213.703,27068,0.18536859031956116,-1.3554893353020174,1.3554893353020174,416,0,588,0
214.015,26737,-4.175528991368874,-3.6410697561993794,4.175528991368874,416,1,591,0
214.328,26987,3.4025423934676953,-1.771151293492674,3.4025423934676953,416,13,524,0
214.642,27261,-1.0994395971795572,-1.5469670564595555,1.5469670564595555,416,0,615,0
214.96,27093,-1.4571678765751002,-2.3659648510897613,2.3659648510897613,417,0,544,0
215.28,26831,3.9332131848036758,-3.191518536435994,3.9332131848036758,416,49,602,0
215.606,27224,-0.4703669081679422,-1.4523086213217131,1.4523086213217131,416,0,597,0
215.933,27237,0.9315622077737666,-1.4427060212678666,1.4427060212678666,418,0,558,0
216.255,26798,4.0378112394833785,-3.7905856309506887,4.0378112394833785,416,60,555,0
216.578,26904,0.2654262075556328,-1.357920262618851,1.357920262618851,416,0,568,0
216.895,27169,0.6571445696186293,-0.8991733514799091,0.8991733514799091,417,0,617,0
217.222,26947,2.550231177567912,-2.8895288378018287,2.8895288378018287,416,18,540,0
217.548,26864,-3.394499239898569,-3.43140823253945,3.43140823253945,415,10,586,0
217.878,27293,0.8787304849005589,-0.6509570762311152,0.8787304849005589,416,0,659,0
218.203,27262,0.10360853371642688,-0.09303645103353166,0.10360853371642688,418,0,421,0
218.533,27290,0.6060435278275771,-0.507256064146186,0.6060435278275771,416,0,642,0
218.851,27297,0.7230582908679454,-0.9074298979202203,0.9074298979202203,417,0,619,0
219.166,27297,0.6007575387715115,-0.9188412728698475,0.9188412728698475,417,0,598,0
219.496,27306,0.15281586146033568,-0.7959772598043474,0.7959772598043474,418,0,504,0
