run_id,distance_m,group,frame,sensor,arrival_monotonic,message_stamp,detected,measured_distance_m,signed_error_m,valid_count,inf_count,nan_count,tf_ok,contact_events_in_group
blind_zone_20260822_093826,0.499994223584618,1,1,scan,13143.822760818,256.511,True,0.4968062183336717,-0.0031880052509462575,570,150,0,True,965
blind_zone_20260822_093826,0.499994223584618,1,2,scan,13143.931275968,256.612,True,0.49631780671949244,-0.0036764168651255424,566,154,0,True,965
blind_zone_20260822_093826,0.499994223584618,1,3,scan,13144.031840788,256.711,True,0.4961367250515515,-0.0038574985330664946,573,147,0,True,965
blind_zone_20260822_093826,0.499994223584618,1,4,scan,13144.178221065,256.811,True,0.49813995485168605,-0.0018542687329319296,524,196,0,True,965
blind_zone_20260822_093826,0.499994223584618,1,5,scan,13144.288079486,256.911,True,0.49655214618348364,-0.003442077401134336,557,163,0,True,965
blind_zone_20260822_093826,0.499994223584618,1,6,scan,13144.39115598,257.012,True,0.49605716852347875,-0.003937055061139227,570,150,0,True,965
blind_zone_20260822_093826,0.499994223584618,1,7,scan,13144.496355998,257.112,True,0.4963011094591255,-0.0036931141254925026,571,149,0,True,965
blind_zone_20260822_093826,0.499994223584618,1,8,scan,13144.629882053,257.211,True,0.49930890759729063,-0.0006853159873273507,570,150,0,True,965
blind_zone_20260822_093826,0.499994223584618,1,9,scan,13144.749853452,257.311,True,0.4953446261416599,-0.004649597442958064,571,149,0,True,965
blind_zone_20260822_093826,0.499994223584618,1,10,scan,13144.864274665,257.411,True,0.4958553199867857,-0.004138903597832255,564,156,0,True,965
blind_zone_20260822_093826,0.499994223584618,1,1,velodyne,13143.81851501,256.511,True,0.5000203847885132,2.6161203895203045e-05,14082,0,318,True,965
blind_zone_20260822_093826,0.499994223584618,1,2,velodyne,13143.927952621,256.612,True,0.4999576210975647,-3.6602487053283284e-05,14082,0,318,True,965
blind_zone_20260822_093826,0.499994223584618,1,3,velodyne,13144.034439605,256.711,True,0.5001872181892395,0.0001929946046215214,14082,0,318,True,965
blind_zone_20260822_093826,0.499994223584618,1,4,velodyne,13144.171951059,256.811,True,0.5000016689300537,7.445345435730388e-06,14083,0,317,True,965
blind_zone_20260822_093826,0.499994223584618,1,5,velodyne,13144.285151261,256.911,True,0.4999922215938568,-2.0019907611690257e-06,14082,0,318,True,965
blind_zone_20260822_093826,0.499994223584618,1,6,velodyne,13144.38740467,257.012,True,0.4999698996543884,-2.4323930229552815e-05,14082,0,318,True,965
blind_zone_20260822_093826,0.499994223584618,1,7,velodyne,13144.492429259,257.112,True,0.4999862313270569,-7.992257561095784e-06,14082,0,318,True,965
blind_zone_20260822_093826,0.499994223584618,1,8,velodyne,13144.654907857,257.211,True,0.5000179409980774,2.371741345941203e-05,14082,0,318,True,965
blind_zone_20260822_093826,0.499994223584618,1,9,velodyne,13144.747169555,257.311,True,0.49996086955070496,-3.3354033913024494e-05,14082,0,318,True,965
blind_zone_20260822_093826,0.499994223584618,1,10,velodyne,13144.85965212,257.411,True,0.499863862991333,-0.00013036059328497274,14083,0,317,True,965
blind_zone_20260822_093826,0.499994223584618,2,1,scan,13144.966040208,257.511,True,0.49692242780641294,-0.0030717957782050442,524,196,0,True,968
blind_zone_20260822_093826,0.499994223584618,2,2,scan,13145.082878046,257.612,True,0.4956873819952149,-0.004306841589403088,541,179,0,True,968
blind_zone_20260822_093826,0.499994223584618,2,3,scan,13145.219095402,257.711,True,0.49627400207154304,-0.0037202215130749394,568,152,0,True,968
blind_zone_20260822_093826,0.499994223584618,2,4,scan,13145.318224138,257.811,True,0.49588814617170024,-0.004106077412917741,573,147,0,True,968
blind_zone_20260822_093826,0.499994223584618,2,5,scan,13145.433797052,257.912,True,0.49798684956843936,-0.00200737401617862,524,196,0,True,968
blind_zone_20260822_093826,0.499994223584618,2,6,scan,13145.567577535,258.011,True,0.49829706064625306,-0.0016971629383649156,573,147,0,True,968
blind_zone_20260822_093826,0.499994223584618,2,7,scan,13145.687955326,258.111,True,0.49832065820872107,-0.0016735653758969127,571,149,0,True,968
blind_zone_20260822_093826,0.499994223584618,2,8,scan,13145.831289237,258.211,True,0.4957404951206721,-0.004253728463945894,571,149,0,True,968
blind_zone_20260822_093826,0.499994223584618,2,9,scan,13145.910259723,258.311,True,0.4977672214969512,-0.002227002087666796,572,148,0,True,968
blind_zone_20260822_093826,0.499994223584618,2,10,scan,13146.016048887,258.411,True,0.49930208866408626,-0.0006921349205317173,524,196,0,True,968
blind_zone_20260822_093826,0.499994223584618,2,1,velodyne,13144.961393358,257.511,True,0.4999905526638031,-3.6709208148799632e-06,14083,0,317,True,968
blind_zone_20260822_093826,0.499994223584618,2,2,velodyne,13145.114766328,257.612,True,0.49999016523361206,-4.058351005920002e-06,14081,0,319,True,968
blind_zone_20260822_093826,0.499994223584618,2,3,velodyne,13145.216405264,257.711,True,0.5000160336494446,2.181006482659953e-05,14082,0,318,True,968
blind_zone_20260822_093826,0.499994223584618,2,4,velodyne,13145.325329361,257.811,True,0.49999624490737915,2.0213227611698414e-06,14083,0,317,True,968
blind_zone_20260822_093826,0.499994223584618,2,5,velodyne,13145.429956124,257.912,True,0.5000086426734924,1.4419088874451091e-05,14083,0,317,True,968
blind_zone_20260822_093826,0.499994223584618,2,6,velodyne,13145.562806441,258.011,True,0.4999208450317383,-7.33785528796993e-05,14082,0,318,True,968
blind_zone_20260822_093826,0.499994223584618,2,7,velodyne,13145.684152249,258.111,True,0.49998804926872253,-6.1743158954463695e-06,14082,0,318,True,968
blind_zone_20260822_093826,0.499994223584618,2,8,velodyne,13145.828292804,258.211,True,0.49999332427978516,-8.993048328242992e-07,14082,0,318,True,968
blind_zone_20260822_093826,0.499994223584618,2,9,velodyne,13145.931057803,258.311,True,0.5000278949737549,3.367138913690226e-05,14082,0,318,True,968
blind_zone_20260822_093826,0.499994223584618,2,10,velodyne,13146.028199439,258.411,True,0.499973863363266,-2.0360221351989338e-05,14083,0,317,True,968
blind_zone_20260822_093826,0.499994223584618,3,1,scan,13146.13960908,258.511,True,0.4968020741002368,-0.0031921494843811793,574,146,0,True,1016
blind_zone_20260822_093826,0.499994223584618,3,2,scan,13146.313011638,258.611,True,0.49721274793467224,-0.0027814756499457416,563,157,0,True,1016
blind_zone_20260822_093826,0.499994223584618,3,3,scan,13146.42270561,258.711,True,0.4968308160971765,-0.003163407487441483,573,147,0,True,1016
blind_zone_20260822_093826,0.499994223584618,3,4,scan,13146.536495669,258.811,True,0.49693940572794804,-0.0030548178566699447,570,150,0,True,1016
blind_zone_20260822_093826,0.499994223584618,3,5,scan,13146.66176,258.911,True,0.49848462747701655,-0.0015095961076014297,523,197,0,True,1016
blind_zone_20260822_093826,0.499994223584618,3,6,scan,13146.764172558,259.012,True,0.49868762485144436,-0.001306598733173625,570,150,0,True,1016
blind_zone_20260822_093826,0.499994223584618,3,7,scan,13146.870039718,259.112,True,0.4980462019627817,-0.0019480216218362711,570,150,0,True,1016
blind_zone_20260822_093826,0.499994223584618,3,8,scan,13146.975496258,259.211,True,0.49622988214669556,-0.003764341437922425,570,150,0,True,1016
