stamp_sec,point_count,roll_deg,pitch_deg,tilt_deg,raw_finite_bins,raw_ground_bins,level_finite_bins,level_ground_bins
182.572,27232,0.02407242623270847,0.5394327469558298,0.5394327469558298,428,0,492,0
184.073,27247,0.10816912342035202,0.37963761437284066,0.37963761437284066,429,0,468,0
184.872,27244,0.05802996851851197,0.45322335364423694,0.45322335364423694,429,0,478,0
186.672,27241,0.13261305226621412,0.48796679374667895,0.48796679374667895,428,0,484,0
189.072,27251,0.14752732469132912,0.5600948766443917,0.5600948766443917,428,0,497,0
193.472,27263,0.06955916754703356,0.15715490090495848,0.15715490090495848,428,0,455,0
195.072,27270,0.06357410743682884,0.4276866268068795,0.4276866268068795,428,0,472,0
195.572,27263,-0.09311453135027867,0.3442143587912554,0.3442143587912554,428,0,466,0
199.973,27041,-0.9022326493893393,-2.755747321264839,2.755747321264839,427,0,616,0
200.972,26796,-1.1676629908431913,-2.831729246141063,2.831729246141063,501,0,626,0
201.872,27117,-0.17134524603423854,1.2014654900382735,1.2014654900382735,426,0,558,0
202.372,27015,1.3662611347279845,0.20639722185030826,1.3662611347279845,425,0,681,0
203.273,26865,0.2405449305381254,0.32722695159403414,0.32722695159403414,423,0,381,0
207.272,26949,2.6027609408134302,-1.2427390927518311,2.6027609408134302,422,0,559,0
208.472,26297,-1.7115726015883743,-2.7074015258916226,2.7074015258916226,422,0,579,0
209.572,26084,-4.336109014186547,-3.8546684897897627,4.336109014186547,443,121,596,0
210.073,26191,-4.485093626774188,-3.8122076914638887,4.485093626774188,434,112,585,0
211.772,27165,2.916426115817029,-1.2389134479490558,2.916426115817029,424,0,554,0
213.473,26745,0.2926266911715467,-2.262852116884528,2.262852116884528,453,0,522,0
214.172,27341,-1.644577510109924,-1.619284222125953,1.644577510109924,426,0,495,0
215.073,26263,-4.383062660787628,-4.573939427268068,4.573939427268068,461,130,546,0
215.573,26134,-4.604346269484382,-3.890819546055223,4.604346269484382,470,131,544,0
216.073,27155,-1.038486349930097,-0.7801375539343038,1.038486349930097,427,0,646,0
216.772,27167,-0.1286183965138373,-1.3619756775048892,1.3619756775048892,425,0,621,0
217.772,27215,-1.2443216492072302,-0.13162145366499575,1.2443216492072302,427,0,633,0
218.273,27191,-1.1860533113046303,-0.7614042255947819,1.1860533113046303,426,0,640,0
221.273,27136,-0.8592828492262063,0.4269729612939783,0.8592828492262063,426,0,558,0
221.772,27129,-0.9878446474389152,0.1629861335014442,0.9878446474389152,425,0,543,0
223.372,26592,1.0953593148232428,-2.3554828996566632,2.3554828996566632,445,0,546,0
224.072,27192,2.0638314065185828,-1.9853930876768986,2.0638314065185828,428,0,606,0
225.072,27270,3.3720452052402354,-1.2922851133284894,3.3720452052402354,479,21,674,0
225.773,27159,-1.5336345979171224,-0.021955567745404376,1.5336345979171224,486,0,629,0
226.973,26048,4.592561621809685,-4.241609529760584,4.592561621809685,557,160,553,0
227.472,26037,4.942846295663605,-4.556786885155764,4.942846295663605,548,170,573,0
228.172,27198,-4.148392355514045,-2.583720536047734,4.148392355514045,463,20,593,0
228.672,27220,-2.5920398723524527,-0.7920951043347478,2.5920398723524527,457,0,568,0
229.173,27129,-0.5739814391135069,0.7655823498427188,0.7655823498427188,453,0,580,0
229.672,27235,-3.584112125764687,-1.3604429190876473,3.584112125764687,442,19,553,0
230.372,26468,1.7863010242473893,-2.927853065620236,2.927853065620236,448,0,572,0
231.072,27456,2.0874838690622255,-1.9904340417317203,2.0874838690622255,433,0,589,0
235.272,27281,-0.6861142645823078,-0.15990922197416924,0.6861142645823078,435,0,477,0
236.372,27305,1.0706839493064226,0.15744497108298844,1.0706839493064226,433,0,566,0
236.873,27340,0.8529292175942158,0.16199321132333672,0.8529292175942158,433,0,557,0
